"Periodestart_noDM","Periodeende_noDM","FuenfjahresPeriode_noDM","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","MietwohnungSort","MietwohnungCd","MietwohnungLang","HHtypPubl1Sort_noDM","HHtypPubl1Cd_noDM","HHtypPubl1Lang_noDM","AnzWhgStat","Wohnflaeche","AnzBestWir","AnzRentner","AnzKinder"
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",3,180,6,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,60,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",1,60,4,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",1,"1","1 Person im Erwerbsalter",3,197,3,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",2,"2","2 Personen im Erwerbsalter",1,70,2,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",8,"8","1 Erwachsener mit Kind",1,70,2,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",9,"9","Andere Haushalte (3+ Erwachsene)",1,70,3,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",1,93,2,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",25,2061,25,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",50,4160,100,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",3,224,3,3,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",33,2729,66,58,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",15,1276,45,0,15
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",9,818,36,0,18
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",1,92,6,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",8,"8","1 Erwachsener mit Kind",13,1070,28,0,15
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",6,478,21,3,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",24,2341,24,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",91,8513,182,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",4,381,4,4,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",5,409,10,9,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",19,1808,57,0,19
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",3,283,12,0,6
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",8,"8","1 Erwachsener mit Kind",3,321,7,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",5,441,17,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",1,"1","1 Person im Erwerbsalter",3,253,3,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",2,172,4,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,81,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",1,"1","1 Person im Erwerbsalter",7,673,7,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",13,1286,26,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,93,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",8,"8","1 Erwachsener mit Kind",1,92,3,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",1,102,6,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",1,"1","1 Person im Erwerbsalter",9,870,9,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",2,"2","2 Personen im Erwerbsalter",7,719,14,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",3,"3","1 Person im Rentenalter",1,107,1,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",4,"4","2 Personen, davon mindestens eine im Rentenalter",2,206,4,3,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",5,"5","2 Erwachsene mit 1 Kind",4,415,12,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","3-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",9,"9","Andere Haushalte (3+ Erwachsene)",1,92,4,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",1,93,7,0,5
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",13,1261,53,0,7
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",6,600,6,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",13,1351,26,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",1,97,2,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",44,4603,132,1,44
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",80,8412,320,0,160
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",10,1026,52,0,32
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",8,"8","1 Erwachsener mit Kind",9,931,26,0,17
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",42,4372,162,5,18
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",6,686,6,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",36,4130,72,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",3,350,6,5,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",23,2629,69,0,23
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",21,2437,84,0,42
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",2,279,10,0,6
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",6,676,22,2,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",4,377,8,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",1,105,5,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",1,"1","1 Person im Erwerbsalter",2,253,2,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",2,267,4,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,123,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",1,123,4,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",1,106,6,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",1,"1","1 Person im Erwerbsalter",2,253,2,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",2,"2","2 Personen im Erwerbsalter",3,388,6,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",4,"4","2 Personen, davon mindestens eine im Rentenalter",3,404,6,6,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",5,"5","2 Erwachsene mit 1 Kind",2,270,6,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",6,"6","2 Erwachsene mit 2 Kindern",2,260,8,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",7,"7","2 Erwachsene mit 3+ Kindern",1,123,5,0,3
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","4-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",9,"9","Andere Haushalte (3+ Erwachsene)",2,272,7,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",1,119,4,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",10,1169,59,0,39
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",8,"8","1 Erwachsener mit Kind",1,116,4,0,3
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",1,"1","Öffentliche Hand",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",4,467,24,0,12
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",1,129,1,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",2,259,6,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",34,4085,136,0,68
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",20,2407,104,0,64
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",8,"8","1 Erwachsener mit Kind",3,365,9,0,6
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",24,2908,112,2,27
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",1,197,2,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",3,347,9,0,3
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",1,203,4,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",1,197,5,0,3
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",8,"8","1 Erwachsener mit Kind",1,139,3,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",6,"6","2 Erwachsene mit 2 Kindern",2,281,8,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",7,"7","2 Erwachsene mit 3+ Kindern",3,423,15,0,9
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",8,"8","1 Erwachsener mit Kind",1,182,3,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","5-Zimmer",5,"5","Im Stockwerkeigentum",2,"N","Nein",9,"9","Andere Haushalte (3+ Erwachsene)",1,141,4,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",6,"6","6-Zimmer und mehr",2,"2","Wohnbaugenossenschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",2,265,8,0,4
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",6,"6","6-Zimmer und mehr",2,"2","Wohnbaugenossenschaften",1,"J","Ja",7,"7","2 Erwachsene mit 3+ Kindern",7,973,40,0,26
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",6,"6","6-Zimmer und mehr",2,"2","Wohnbaugenossenschaften",1,"J","Ja",8,"8","1 Erwachsener mit Kind",1,142,4,0,3
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",6,"6","6-Zimmer und mehr",2,"2","Wohnbaugenossenschaften",1,"J","Ja",9,"9","Andere Haushalte (3+ Erwachsene)",7,978,38,1,7
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","1-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",1,53,1,0,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","1-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",2,105,2,2,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","1-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",1,"1","1 Person im Erwerbsalter",1,80,1,0,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",22,1615,22,0,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",14,1019,28,0,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",15,1101,15,15,0
2015,2019,"2015–2019","D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",1,61,2,2,0
